開放粵語字典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵語拼音］
泡	泡	pau1
跑	跑	pau2
炮	炮	pau3
泡	泡	pau3
疱	疱	pau3
豹	豹	pau3
刨	刨	pau4
咆	咆	pau4
匏	匏	pau4
麅	狍	pau4
庖	庖	pau4
剖	剖	paw2
抔	抔	paw4
批	批	pay1
睥	睥	pay5
劈	劈	peg3
闢	辟	pek1
辟	辟	pek1
癖	癖	pek1
僻	僻	pek1
霹	霹	pek1
砰	砰	penk1
姘	姘	penk1
怦	怦	penk1
抨	抨	penk1
娉	娉	penk1
拼	拼	penk1/penk3
聘	聘	penk3
坪	坪	penk4
屏	屏	penk4
蘋	苹	penk4
萍	萍	penk4
瓶	瓶	penk4
評	评	penk4
平	平	penk4
狉	狉	pey1
丕	丕	pey1
紕	纰	pey1
呸	呸	pey1
披	披	pey1
鄙	鄙	pey2
圮	圮	pey2
仳	仳	pey2
痞	痞	pey2
否	否	pey2
吡	吡	pey2
譬	譬	pey3
濞	濞	pey3
屁	屁	pey3
媲	媲	pey3/bey2
邳	邳	pey4
郫	郫	pey4
皮	皮	pey4
蜱	蜱	pey4
枇	枇	pey4
琵	琵	pey4
貔	貔	pey4
疲	疲	pey4
毗	毗	pey4
脾	脾	pey4
婢	婢	pey5
被	被	pey5
撇	撇	pid3
瞥	瞥	pid3
偏	偏	pin1
編	编	pin1
扁	扁	pin1
篇	篇	pin1
翩	翩	pin1
蝙	蝙	pin1/bin1
片	片	pin2
片	片	pin2
片	片	pin3
騙	骗	pin3
遍	遍	pin3
便	便	pin4
駢	骈	pin4
飄	飘	piu1
嘌	嘌	piu1
漂	漂	piu1
縹	缥	piu1
票	票	piu3
漂	漂	piu3
剽	剽	piu3/piu5
朴	朴	piu4
瓢	瓢	piu4
嫖	嫖	piu4
鰾	鳔	piu5
瞟	瞟	piu5
頗	颇	po1
坡	坡	po1/bo1
棵	棵	po1/fo2
頗	颇	po2
笸	笸	po2
叵	叵	po2
破	破	po3
婆	婆	po4
鄱	鄱	po4/bo3
撲	扑	pog3
璞	璞	pog3
樸	朴	pog3
噗	噗	pog3
釙	钋	pog3
粕	粕	pog3/pag3
仆	仆	pok1
謗	谤	pong3
螃	螃	pong4
磅	磅	pong4
旁	旁	pong4
膀	膀	pong4
龐	庞	pong4
滂	滂	pong4
彷	彷	pong4
蚌	蚌	pong5
捧	捧	ponk2/bonk2
碰	碰	ponk3
芃	芃	ponk4
篷	篷	ponk4
蓬	蓬	ponk4/fonk4
鋪	铺	pow1
普	普	pow2
溥	溥	pow2
浦	浦	pow2
譜	谱	pow2
脯	脯	pow2/fu2
舖	铺	pow3
脯	脯	pow4
蒲	蒲	pow4
莆	莆	pow4
袍	袍	pow4
葡	葡	pow4
匍	匍	pow4
菩	菩	pow4
抱	抱	pow5
泡	泡	pow5
潑	泼	pud3
胚	胚	pui1
坯	坯	pui1
配	配	pui3
霈	霈	pui3
珮	珮	pui3
沛	沛	pui3
佩	佩	pui3
徘	徘	pui4
裴	裴	pui4
培	培	pui4
陪	陪	pui4
賠	赔	pui4
倍	倍	pui5
蓓	蓓	pui5/pui4
潘	潘	pun1
番	番	pun1
拚	拚	pun3
判	判	pun3
盤	盘	pun4
槃	槃	pun4
盆	盆	pun4
磐	磐	pun4
蟠	蟠	pun4
蹣	蹒	pun4/mun4
痧	痧	sa1
卅	卅	sa1
裟	裟	sa1
鯊	鲨	sa1
紗	纱	sa1
啥	啥	sa1
莎	莎	sa1
砂	砂	sa1
沙	沙	sa1
灑	洒	sa2
耍	耍	sa2
圾	圾	sab3
颯	飒	sab3
撒	撒	sad3
薩	萨	sad3
鎩	铩	sad3
剎	刹	sad3
殺	杀	sad3
煞	煞	sad3
索	索	sag3/sog3
璽	玺	sai2
徙	徙	sai2
曬	晒	sai3
塞	塞	sak1
噻	噻	sak1
叄	叁	sam1
衫	衫	sam1
三	三	sam1
仨	仨	sam1
三	三	sam3
森	森	samp1
琛	琛	samp1
參	参	samp1
芯	芯	samp1
郴	郴	samp1
心	心	samp1
深	深	samp1
沈	沈	samp2
瀋	沈	samp2
嬸	婶	samp2
審	审	samp2
沁	沁	samp3
滲	渗	samp3
涔	涔	samp4
岑	岑	samp4
忱	忱	samp4
梣	梣	samp4
什	什	samp6
甚	甚	samp6
椹	葚	samp6
栓	栓	san1
山	山	san1
珊	珊	san1
跚	跚	san1
閂	闩	san1
拴	拴	san1
舢	舢	san1
潸	潸	san1
刪	删	san1
姍	姗	san1
散	散	san2
汕	汕	san3
篡	篡	san3
訕	讪	san3
散	散	san3
疝	疝	san3
涮	涮	san3
傘	伞	san3
潺	潺	san4
孱	孱	san4
甥	甥	sang1
牲	牲	sang1
省	省	sang2
笙	笙	sank1
生	生	sank1/sang1
蹭	蹭	sank3
擤	擤	sank3
燊	燊	sant1
紳	绅	sant1
申	申	sant1
身	身	sant1
砷	砷	sant1
薪	薪	sant1
呻	呻	sant1
娠	娠	sant1
辛	辛	sant1
鋅	锌	sant1
莘	莘	sant1
伸	伸	sant1
新	新	sant1
臣	臣	sant4
神	神	sant4
辰	辰	sant4
晨	晨	sant4
腎	肾	sant5
慎	慎	sant6
蜃	蜃	sant6/sant5
濕	湿	sap1
澀	涩	sap1/sek1/gib3
霎	霎	sap3
十	十	sap6
拾	拾	sap6
失	失	sat1
膝	膝	sat1
瑟	瑟	sat1
蝨	虱	sat1
室	室	sat1
實	实	sat6
梢	梢	sau1
捎	捎	sau1
稍	稍	sau2
哨	哨	sau3
嗖	嗖	saw1
收	收	saw1
修	修	saw1
羞	羞	saw1
餿	馊	saw1
螋	螋	saw1
颼	飕	saw1
搜	搜	saw1/saw2
搜	搜	saw2
手	手	saw2
首	首	saw2
嗾	嗾	saw2
守	守	saw2
擻	擞	saw2
艘	艘	saw2/saw1
狩	狩	saw3
嗽	嗽	saw3
鏽	锈	saw3
繡	绣	saw3
漱	漱	saw3
琇	琇	saw3
瘦	瘦	saw3
秀	秀	saw3
獸	兽	saw3
宿	宿	saw3
仇	仇	saw4
愁	愁	saw4
受	受	saw6
售	售	saw6
壽	寿	saw6
授	授	saw6
綬	绶	saw6
西	西	say1
犀	犀	say1
嘶	嘶	say1
篩	筛	say1
舾	舾	say1
硒	硒	say1
使	使	say2
洗	洗	say2
駛	驶	say2
世	世	say3
細	细	say3
勢	势	say3
婿	婿	say3
舐	舐	say5/say2
噬	噬	say6
誓	誓	say6
筮	筮	say6
逝	逝	say6
些	些	se1
寫	写	se2
捨	舍	se2
赦	赦	se3
猞	猞	se3
瀉	泻	se3
舍	舍	se3
卸	卸	se3
畲	畲	se4
蛇	蛇	se4
社	社	se5
射	射	se6
麝	麝	se6
錫	锡	seg3
石	石	seg6
碩	硕	seg6
飾	饰	sek1
色	色	sek1
適	适	sek1
媳	媳	sek1
嗇	啬	sek1
釋	释	sek1
淅	淅	sek1
蟋	蟋	sek1
析	析	sek1
晰	晰	sek1
式	式	sek1
悉	悉	sek1
惜	惜	sek1
熄	熄	sek1
軾	轼	sek1
昔	昔	sek1
皙	皙	sek1
息	息	sek1
拭	拭	sek1
蜥	蜥	sek1
識	识	sek1
銫	铯	sek1
螫	螫	sek1
蝕	蚀	sek6
食	食	sek6
勝	胜	senk1
惺	惺	senk1
猩	猩	senk1
昇	升	senk1
星	星	senk1
陞	升	senk1
升	升	senk1
聲	声	senk1/seng1
腥	腥	senk1/seng1
省	省	senk2
醒	醒	senk2/seng2
姓	姓	senk3
聖	圣	senk3
性	性	senk3
勝	胜	senk3
城	城	senk4
乘	乘	senk4
成	成	senk4
承	承	senk4
盛	盛	senk4
繩	绳	senk4
澠	渑	senk4
誠	诚	senk4
丞	丞	senk4
嵊	嵊	senk6
盛	盛	senk6
剩	剩	senk6
鑠	铄	seog3
爍	烁	seog3
削	削	seog3
廂	厢	seong1
相	相	seong1
鑲	镶	seong1
霜	霜	seong1
雙	双	seong1
襄	襄	seong1
商	商	seong1
傷	伤	seong1
孀	孀	seong1
觴	觞	seong1
殤	殇	seong1
箱	箱	seong1
鸘	鹴	seong1
湘	湘	seong1
鯗	鲞	seong2
想	想	seong2
賞	赏	seong2
相	相	seong3
裳	裳	seong4
償	偿	seong4
徜	徜	seong4
嫦	嫦	seong4
嚐	尝	seong4
嘗	尝	seong4
常	常	seong4
上	上	seong5
尚	尚	seong6
上	上	seong6
書	书	seu1
輸	输	seu1
抒	抒	seu1
樞	枢	seu1
舒	舒	seu1
紓	纾	seu1
黍	黍	seu2
鼠	鼠	seu2
暑	暑	seu2
恕	恕	seu3
戍	戍	seu3
庶	庶	seu3
薯	薯	seu4
殊	殊	seu4
樹	树	seu6
豎	竖	seu6
鱈	鳕	seud3
說	说	seud3
雪	雪	seud3
瑄	瑄	seun1
蓀	荪	seun1
悛	悛	seun1
宣	宣	seun1
飧	飧	seun1
酸	酸	seun1
狻	狻	seun1
孫	孙	seun1
猻	狲	seun1
損	损	seun2
選	选	seun2
蒜	蒜	seun3
算	算	seun3
渲	渲	seun3/heun1
璇	璇	seun4
船	船	seun4
漩	漩	seun4
旋	旋	seun4
雋	隽	seun5
吮	吮	seun5
篆	篆	seun6
死	死	sey2
四	四	sey3
獅	狮	si1
撕	撕	si1
尸	尸	si1
詩	诗	si1
蓍	蓍	si1
思	思	si1
師	师	si1
絲	丝	si1
施	施	si1
斯	斯	si1
司	司	si1
廝	厮	si1
屍	尸	si1
私	私	si1
屎	屎	si2
使	使	si2
史	史	si2
使	使	si3
嗜	嗜	si3
泗	泗	si3
試	试	si3
弒	弑	si3
肆	肆	si3
駟	驷	si3
諡	谥	si3
蒔	莳	si4
匙	匙	si4
鰣	鲥	si4
時	时	si4
市	市	si5
侍	侍	si6
事	事	si6
仕	仕	si6
士	士	si6
氏	氏	si6
伺	伺	si6
豉	豉	si6
是	是	si6
示	示	si6
視	视	si6
涉	涉	sib3
歙	歙	sib3
攝	摄	sib3
懾	慑	sib3/jib3
屑	屑	sid3
洩	泄	sid3
竊	窃	sid3
褻	亵	sid3
薛	薛	sid3
楔	楔	sid3
絏	绁	sid3
舌	舌	sid3
揳	揳	sid3/sib3
閃	闪	sim2
陝	陕	sim2
單	单	sim4
禪	禅	sim4
蟾	蟾	sim4
贍	赡	sim6
仙	仙	sin1
先	先	sin1
酰	酰	sin1
鮮	鲜	sin1
氙	氙	sin1/san1
跣	跣	sin2
鮮	鲜	sin2
冼	冼	sin2
癬	癣	sin2
騸	骟	sin3
腺	腺	sin3
扇	扇	sin3
煽	煽	sin3
霰	霰	sin3
線	线	sin3
蟬	蝉	sin4
鱔	鳝	sin5
善	善	sin6
擅	擅	sin6
膳	膳	sin6
倩	倩	sin6
嬗	嬗	sin6
撣	掸	sin6
禪	禅	sin6
單	单	sin6
羨	羡	sin6
繕	缮	sin6
鄯	鄯	sin6
茜	茜	sin6/say1
韶	韶	siu1
魈	魈	siu1
霄	霄	siu1
消	消	siu1
瀟	潇	siu1
宵	宵	siu1
銷	销	siu1
燒	烧	siu1
蕭	萧	siu1
硝	硝	siu1
逍	逍	siu1
簫	箫	siu1
小	小	siu2
少	少	siu2
筱	筱	siu2
少	少	siu3
嘯	啸	siu3
笑	笑	siu3
邵	邵	siu6
紹	绍	siu6
兆	兆	siu6
肇	肇	siu6
劭	劭	siu6
蔬	蔬	so1
羧	羧	so1
蓑	蓑	so1
疏	疏	so1
梳	梳	so1
嗦	嗦	so1
唆	唆	so1
梭	梭	so1
瑣	琐	so2
鎖	锁	so2
嗩	唢	so2
所	所	so2
傻	傻	so4
索	索	sog3
說	说	sog3
朔	朔	sog3
腮	腮	soi1
鰓	鳃	soi1
僳	僳	sok1
蓿	蓿	sok1
鷫	鹔	sok1
宿	宿	sok1
粟	粟	sok1
夙	夙	sok1
叔	叔	sok1
縮	缩	sok1
肅	肃	sok1
倏	倏	sok1
孰	孰	sok6
屬	属	sok6
熟	熟	sok6
贖	赎	sok6
淑	淑	sok6
塾	塾	sok6
菽	菽	sok6
蜀	蜀	sok6
桑	桑	song1
喪	丧	song1
搡	搡	song2
爽	爽	song2
嗓	嗓	song2
喪	丧	song3
忪	忪	sonk1
從	从	sonk1
淞	淞	sonk1
鬆	松	sonk1
嵩	嵩	sonk1
聳	耸	sonk2
竦	竦	sonk2
悚	悚	sonk2
慫	怂	sonk2
宋	宋	sonk3
送	送	sonk3
崇	崇	sonk4
峋	峋	sont1
詢	询	sont1
殉	殉	sont1
荀	荀	sont1
芯	芯	sont1
筍	笋	sont2
榫	榫	sont2
浚	浚	sont3
信	信	sont3
訊	讯	sont3
汛	汛	sont3
遜	逊	sont3
迅	迅	sont3
巽	巽	sont3
瞬	瞬	sont3
舜	舜	sont3
囟	囟	sont3/sont2
脣	唇	sont4
淳	淳	sont4
純	纯	sont4
醇	醇	sont4
鶉	鹑	sont4/cont1
順	顺	sont6
率	率	sot1
恤	恤	sot1
戌	戌	sot1
蟀	蟀	sot1
摔	摔	sot1
術	术	sot6
述	述	sot6
沭	沭	sot6
甦	甦	sow1
酥	酥	sow1
鬚	须	sow1
穌	稣	sow1
臊	臊	sow1
囌	苏	sow1
蘇	苏	sow1
騷	骚	sow1
搔	搔	sow1
數	数	sow2
嫂	嫂	sow2
溯	溯	sow3
數	数	sow3
塑	塑	sow3
訴	诉	sow3
愫	愫	sow3
掃	扫	sow3
臊	臊	sow3
素	素	sow3
綏	绥	soy1
須	须	soy1
胥	胥	soy1
衰	衰	soy1
睢	睢	soy1
需	需	soy1
濉	濉	soy1
荽	荽	soy1
雖	虽	soy1
水	水	soy2
稅	税	soy3
帥	帅	soy3
歲	岁	soy3
碎	碎	soy3
說	说	soy3
垂	垂	soy4
誰	谁	soy4
髓	髓	soy5
緒	绪	soy5
墅	墅	soy5
絮	絮	soy5/soy6
邃	邃	soy6
穗	穗	soy6
燧	燧	soy6
瑞	瑞	soy6
隧	隧	soy6
萃	萃	soy6
睡	睡	soy6
粹	粹	soy6
遂	遂	soy6
悴	悴	soy6
祟	祟	soy6
瘁	瘁	soy6/soy5
他	他	ta1
祂	他	ta1
它	它	ta1
牠	它	ta1
她	她	ta1
鉈	铊	ta1
漯	漯	tab3
榻	榻	tab3
塔	塔	tab3
塌	塌	tab3
遢	遢	tab3/tad3
趿	趿	tad3
闥	闼	tad3
撻	挞	tad3
躂	跶	tad3
韃	鞑	tad3
傣	傣	tai3
太	太	tai3
肽	肽	tai3
泰	泰	tai3
態	态	tai3
貸	贷	tai3
汰	汰	tai3
鈦	钛	tai3
貪	贪	tam1
毯	毯	tam2
探	探	tam3
罈	坛	tam3
譚	谭	tam4
談	谈	tam4
曇	昙	tam4
覃	覃	tam4
郯	郯	tam4
潭	潭	tam4
澹	澹	tam4
痰	痰	tam4
淡	淡	tam5
攤	摊	tan1
灘	滩	tan1
癱	瘫	tan1
坍	坍	tan1
坦	坦	tan2
袒	袒	tan2
忐	忐	tan2
鉭	钽	tan2
疸	疸	tan2
亶	亶	tan2
炭	炭	tan3
歎	叹	tan3
碳	碳	tan3
檀	檀	tan4
壇	坛	tan4
彈	弹	tan4
滕	滕	tank4
藤	藤	tank4
謄	誊	tank4
騰	腾	tank4
疼	疼	tank4
飩	饨	tant1
吞	吞	tant1
褪	褪	tant3
偷	偷	taw1
透	透	taw3
投	投	taw4
頭	头	taw4
骰	骰	taw4/sek1
銻	锑	tay1
梯	梯	tay1
體	体	tay2
涕	涕	tay3
屜	屉	tay3
嚏	嚏	tay3
剃	剃	tay3
替	替	tay3
提	提	tay4
堤	堤	tay4
醍	醍	tay4
緹	缇	tay4
鵜	鹈	tay4
題	题	tay4
啼	啼	tay4
蹄	蹄	tay4
踢	踢	teg3
忒	忒	tek1
倜	倜	tek1
剔	剔	tek1
鋱	铽	tek1
惕	惕	tek1
忑	忑	tek1
烴	烃	tenk1
汀	汀	tenk1
聽	听	tenk1/teng1
廳	厅	tenk1/teng1
聽	听	tenk3
庭	庭	tenk4
亭	亭	tenk4
霆	霆	tenk4
廷	廷	tenk4
婷	婷	tenk4
停	停	tenk4
蜓	蜓	tenk4
挺	挺	tenk5
鋌	铤	tenk5
艇	艇	tenk5/teng5
脫	脱	teud3
囤	囤	teun4
臀	臀	teun4
糰	团	teun4
豚	豚	teun4
團	团	teun4
屯	屯	teun4
斷	断	teun5
貼	贴	tib3
萜	萜	tib3
帖	帖	tib3
鐵	铁	tid3
餮	餮	tid3
添	添	tim1
舔	舔	tim2
恬	恬	tim4
甜	甜	tim4
天	天	tin1
腆	腆	tin2
闐	阗	tin4
田	田	tin4
鈿	钿	tin4
填	填	tin4
滇	滇	tin4/din1
鈿	钿	tin4/din6
殄	殄	tin5/tim5
挑	挑	tiu1
跳	跳	tiu3
眺	眺	tiu3
齠	龆	tiu4
笤	笤	tiu4
髫	髫	tiu4
條	条	tiu4
迢	迢	tiu4
調	调	tiu4
挑	挑	tiu5
窕	窕	tiu5
拖	拖	to1
橢	椭	to2
妥	妥	to2
唾	唾	to3/teo3
馱	驮	to4
佗	佗	to4
鴕	鸵	to4
舵	舵	to4
陀	陀	to4
駝	驼	to4
沱	沱	to4
庹	庹	tog3
託	托	tog3
拓	拓	tog3
橐	橐	tog3
托	托	tog3
苔	苔	toi1
胎	胎	toi1
抬	抬	toi4
枱	台	toi4
颱	台	toi4
苔	苔	toi4
台	台	toi4
跆	跆	toi4
薹	薹	toi4
禿	秃	tok1
湯	汤	tong1
躺	躺	tong2
帑	帑	tong2
淌	淌	tong2
儻	傥	tong2
倘	倘	tong2
趟	趟	tong3
燙	烫	tong3
熨	熨	tong3
蹚	蹚	tong3
溏	溏	tong4
膛	膛	tong4
唐	唐	tong4
棠	棠	tong4
堂	堂	tong4
幢	幢	tong4
螳	螳	tong4
塘	塘	tong4
醣	醣	tong4
糖	糖	tong4/tong2
搪	搪	tong4/tong5
通	通	tonk1
統	统	tonk2
桶	桶	tonk2
捅	捅	tonk2
筒	筒	tonk2/tonk4
痛	痛	tonk3
僮	僮	tonk4
彤	彤	tonk4
峒	峒	tonk4
同	同	tonk4
瞳	瞳	tonk4
衕	同	tonk4
桐	桐	tonk4
銅	铜	tonk4
酮	酮	tonk4
童	童	tonk4
潼	潼	tonk4
佟	佟	tonk4
湍	湍	tont1/jeun1
彖	彖	tont3
盾	盾	tont5
叨	叨	tow1
韜	韬	tow1
饕	饕	tow1
滔	滔	tow1
討	讨	tow2
釷	钍	tow2
禱	祷	tow2
土	土	tow2
套	套	tow3
吐	吐	tow3
兔	兔	tow3
屠	屠	tow4
桃	桃	tow4
濤	涛	tow4
涂	涂	tow4
掏	掏	tow4
鼗	鼗	tow4
萄	萄	tow4
塗	涂	tow4
逃	逃	tow4
圖	图	tow4
徒	徒	tow4
淘	淘	tow4
陶	陶	tow4
荼	荼	tow4
途	途	tow4
洮	洮	tow4
檮	梼	tow4
啕	啕	tow4
肚	肚	tow5
推	推	toy1
腿	腿	toy2
退	退	toy3
蛻	蜕	toy3
頹	颓	toy4
窪	洼	wa1
娃	娃	wa1
哇	哇	wa1
蛙	蛙	wa1
嘩	哗	wa1
譁	哗	wa1
凹	凹	wa1
話	话	wa2
剮	剐	wa2
畫	画	wa2/wa6
華	华	wa4
驊	骅	wa4
划	划	wa4/wa1
踝	踝	wa5
華	华	wa6
話	话	wa6
樺	桦	wa6/wa4
挖	挖	wad3
斡	斡	wad3
滑	滑	wad6
猾	猾	wad6
畫	画	wag6
惑	惑	wag6
劃	划	wag6
或	或	wag6
歪	歪	wai1
淮	淮	wai4
懷	怀	wai4
槐	槐	wai4
壞	坏	wai6
彎	弯	wan1
灣	湾	wan1
綰	绾	wan2
玩	玩	wan2
環	环	wan4
寰	寰	wan4
還	还	wan4
頑	顽	wan4
玩	玩	wan4
鬟	鬟	wan4
挽	挽	wan5
輓	挽	wan5
幻	幻	wan6
宦	宦	wan6
患	患	wan6
橫	横	wang4
橫	横	wang6
弘	弘	wank4
閎	闳	wank4
宏	宏	wank4
溫	温	want1
氳	氲	want1
瘟	瘟	want1
穩	稳	want2
慍	愠	want3
搵	揾	want3
蘊	蕴	want3
醞	酝	want3
筠	筠	want4
雲	云	want4
昀	昀	want4
耘	耘	want4
暈	晕	want4
渾	浑	want4
云	云	want4
蕓	芸	want4
紜	纭	want4
魂	魂	want4
餛	馄	want4
鋆	鋆	want4
芸	芸	want4
琿	珲	want4
勻	匀	want4
妘	妘	want4
尹	尹	want5
隕	陨	want5
允	允	want5
殞	殒	want5
狁	狁	want5
諢	诨	want6
熨	熨	want6
混	混	want6
運	运	want6
鄆	郓	want6
暈	晕	want6
韻	韵	want6/want5
屈	屈	wat1
鬱	郁	wat1
鷸	鹬	wat6
聿	聿	wat6/lot6
威	威	way1
委	委	way1
崴	崴	way1
逶	逶	way1
葳	葳	way1
萎	萎	way2
毀	毁	way2
喟	喟	way2
痿	痿	way2
卉	卉	way2
猥	猥	way2
委	委	way2
餵	喂	way3
蔚	蔚	way3
喂	喂	way3
尉	尉	way3
畏	畏	way3
穢	秽	way3
慰	慰	way3
薈	荟	way3/wui6
維	维	way4
違	违	way4
唯	唯	way4
桅	桅	way4
帷	帷	way4
為	为	way4
惟	惟	way4
圍	围	way4
濰	潍	way4
遺	遗	way4
闈	闱	way4
諱	讳	way5
韙	韪	way5
偉	伟	way5
瑋	玮	way5
葦	苇	way5
緯	纬	way5
韋	韦	way5
蝟	猬	way6
位	位	way6
渭	渭	way6
謂	谓	way6
衛	卫	way6
彗	彗	way6
慧	慧	way6
為	为	way6
蕙	蕙	way6
胃	胃	way6
惠	惠	way6
域	域	wek6
閾	阈	wek6
蜮	蜮	wek6
扔	扔	wenk1
榮	荣	wenk4
嶸	嵘	wenk4
永	永	wenk5
泳	泳	wenk6
詠	咏	wenk6
穎	颖	wenk6
潁	颍	wenk6
蝸	蜗	wo1
鍋	锅	wo1
窩	窝	wo1
渦	涡	wo1
萵	莴	wo1
媧	娲	wo1
倭	倭	wo1
撾	挝	wo1
窠	窠	wo1/fo1
和	和	wo4
禾	禾	wo4
禍	祸	wo6
鑊	镬	wog6
穫	获	wog6
獲	获	wog6
汪	汪	wong1
枉	枉	wong2
黃	黄	wong4
隍	隍	wong4
煌	煌	wong4
遑	遑	wong4
蝗	蝗	wong4
王	王	wong4
皇	皇	wong4
磺	磺	wong4
惶	惶	wong4
潢	潢	wong4
凰	凰	wong4
徨	徨	wong4
簧	簧	wong4
蟥	蟥	wong4
往	往	wong5
旺	旺	wong6
污	污	wu1
鄔	邬	wu1
鎢	钨	wu1
惡	恶	wu1
嗚	呜	wu1
烏	乌	wu1
塢	坞	wu2
滸	浒	wu2
惡	恶	wu3
壺	壶	wu4
葫	葫	wu4
糊	糊	wu4
湖	湖	wu4
狐	狐	wu4
蝴	蝴	wu4
醐	醐	wu4
猢	猢	wu4
煳	煳	wu4
餬	糊	wu4
鬍	胡	wu4
衚	胡	wu4
鶘	鹕	wu4
弧	弧	wu4
胡	胡	wu4
瑚	瑚	wu4
滬	沪	wu6
扈	扈	wu6
護	护	wu6
祜	祜	wu6
怙	怙	wu6
互	互	wu6
芋	芋	wu6
戶	户	wu6
瓠	瓠	wu6/wu4
活	活	wud6
偎	偎	wui1
迴	回	wui4
洄	洄	wui4
徊	徊	wui4
回	回	wui4
蛔	蛔	wui4
會	会	wui5
燴	烩	wui6
匯	汇	wui6
會	会	wui6
彙	汇	wui6/way6
會	会	wui6/wui2
剜	剜	wun1
腕	腕	wun2
碗	碗	wun2
莞	莞	wun2
豌	豌	wun2/wun1
玩	玩	wun2/wun6
惋	惋	wun2/yeun2
桓	桓	wun4
垣	垣	wun4
援	援	wun4/yeun4
皖	皖	wun5
浣	浣	wun5
喚	唤	wun6
瘓	痪	wun6
換	换	wun6
玩	玩	wun6
奐	奂	wun6
煥	焕	wun6
緩	缓	wun6
也	也	ya5
音	音	yamp1
陰	阴	yamp1
鑫	鑫	yamp1
欽	钦	yamp1
歆	歆	yamp1
飲	饮	yamp2
窨	窨	yamp3
蔭	荫	yamp3
吟	吟	yamp4
任	任	yamp4
淫	淫	yamp4
霪	霪	yamp4
壬	壬	yamp4
荏	荏	yamp5/yamp6
任	任	yamp6
衽	衽	yamp6
妊	妊	yamp6
飪	饪	yamp6
賃	赁	yamp6
任	任	yamp6
殷	殷	yant1
忻	忻	yant1
氤	氤	yant1
恩	恩	yant1
因	因	yant1
茵	茵	yant1
堙	堙	yant1
姻	姻	yant1
甄	甄	yant1
欣	欣	yant1
昕	昕	yant1
癮	瘾	yant2
忍	忍	yant2
隱	隐	yant2
印	印	yant3
寅	寅	yant4
人	人	yant4
仁	仁	yant4
夤	夤	yant4
蚓	蚓	yant5
引	引	yant5
紉	纫	yant6
刃	刃	yant6
釁	衅	yant6
胤	胤	yant6
孕	孕	yant6
韌	韧	yant6/ngank6
挹	挹	yap1
邑	邑	yap1
泣	泣	yap1
熠	熠	yap1
悒	悒	yap1
揖	揖	yap1
翕	翕	yap1
入	入	yap6
一	一	yat1
壹	壹	yat1
溢	溢	yat6
日	日	yat6
逸	逸	yat6
軼	轶	yat6
優	优	yaw1
咻	咻	yaw1
丘	丘	yaw1
休	休	yaw1
幽	幽	yaw1
憂	忧	yaw1
鵂	鸺	yaw1
髹	髹	yaw1
蚯	蚯	yaw1
貅	貅	yaw1
邱	邱	yaw1
黝	黝	yaw2
柚	柚	yaw2
幼	幼	yaw3
尤	尤	yaw4
疣	疣	yaw4
蚰	蚰	yaw4
郵	邮	yaw4
柔	柔	yaw4
攸	攸	yaw4
油	油	yaw4
揉	揉	yaw4
遊	游	yaw4
鈾	铀	yaw4
酋	酋	yaw4
蹂	蹂	yaw4
魷	鱿	yaw4
悠	悠	yaw4
由	由	yaw4
游	游	yaw4
猶	犹	yaw4
誘	诱	yaw5
有	有	yaw5
酉	酉	yaw5
友	友	yaw5
鼬	鼬	yaw6
狖	狖	yaw6
釉	釉	yaw6
又	又	yaw6
囿	囿	yaw6
宥	宥	yaw6
侑	侑	yaw6
佑	佑	yaw6
右	右	yaw6
曳	曳	yay6
跩	跩	yay6
椰	椰	ye4
邪	邪	ye4
揶	揶	ye4
爺	爷	ye4
耶	耶	ye4
冶	冶	ye5
野	野	ye5
惹	惹	ye5
夜	夜	ye6
偌	偌	ye6
臆	臆	yek1
億	亿	yek1
益	益	yek1
憶	忆	yek1
鬩	阋	yek1
抑	抑	yek1
弋	弋	yek6
疫	疫	yek6
譯	译	yek6
繹	绎	yek6
掖	掖	yek6
亦	亦	yek6
易	易	yek6
翌	翌	yek6
腋	腋	yek6
蜴	蜴	yek6
弈	弈	yek6
翼	翼	yek6
液	液	yek6
奕	奕	yek6
役	役	yek6
驛	驿	yek6
翊	翊	yek6
逆	逆	yek6/ngag6
贏	赢	yeng4
應	应	yenk1
鷹	鹰	yenk1
櫻	樱	yenk1
瑛	瑛	yenk1
嬰	婴	yenk1
纓	缨	yenk1
英	英	yenk1
鸚	鹦	yenk1
膺	膺	yenk1
映	映	yenk2
影	影	yenk2
應	应	yenk3
瀠	潆	yenk4
滎	荥	yenk4
陘	陉	yenk4
熒	荧	yenk4
凝	凝	yenk4
型	型	yenk4
迎	迎	yenk4
盈	盈	yenk4
營	营	yenk4
鎣	蓥	yenk4
楹	楹	yenk4
刑	刑	yenk4
蠅	蝇	yenk4
仍	仍	yenk4
嬴	嬴	yenk4
瀛	瀛	yenk4
縈	萦	yenk4
瑩	莹	yenk4
螢	萤	yenk4
邢	邢	yenk4
贏	赢	yenk4
形	形	yenk4
瀅	滢	yenk4/yenk6
郢	郢	yenk5
認	认	yenk6
約	约	yeog3
龠	龠	yeog6
籥	籥	yeog6
